route_name,start,finish,middle,dir,bayes,min_speed,bayes_raw_speeds,multi_level,city,adjust_low
32 - Derrimut to Montrose,"144.78850, -37.81357","145.33640, -37.81225","144.82310, -37.80622 | 144.83897, -37.80123 | 144.87785, -37.8013 | 144.8985, -37.8041 | 144.98116, -37.80859 | 145.03782, -37.81481 | 145.0626, -37.82189 | 145.20735, -37.83357",100,TRUE,NA,TRUE,FALSE,Melbourne,FALSE
32 - Montrose to Derrimut,"145.33687, -37.81220","144.78865, -37.81371","145.27096, -37.83181 | 145.14323, -37.83129 | 145.05880, -37.82012 | 145.00266, -37.81079 | 144.95085, -37.80981 | 144.85837, -37.79914 | 144.83811, -37.8061",270,TRUE,NA,TRUE,FALSE,Melbourne,FALSE
55 - Hume Freeway to Montague St,"144.94090, -37.58457","144.94835, -37.82435","144.96685, -37.74048 | 144.94730, -37.81124",NA,TRUE,NA,TRUE,FALSE,Melbourne,FALSE
55 - Montague St to Hume Freeway,"144.94808, -37.82421","144.94048, -37.58442","144.94653, -37.81140 | 144.96545, -37.74778",NA,TRUE,NA,TRUE,FALSE,Melbourne,FALSE
56 - Laverton to Spotswood,"144.78600, -37.82798","144.88288, -37.83704",NA,80,TRUE,NA,FALSE,FALSE,Melbourne,FALSE
56 - Spotswood to Laverton,"144.88288, -37.83704","144.78626, -37.82814","144.850938, -37.831505",260,TRUE,NA,FALSE,FALSE,Melbourne,FALSE
58 - Greenvale to Yan Yean Rd,"144.88195, -37.63474","145.11967, -37.65037",NA,90,TRUE,NA,TRUE,FALSE,Melbourne,FALSE
58 - Yan Yean Rd to Greenvale,"145.11965, -37.65037","144.88374, -37.63517",NA,275,TRUE,NA,TRUE,FALSE,Melbourne,FALSE
A14 - Port Road to Southern Expressway,"138.55106, -34.89179","138.55948, -35.02318",NA,170,TRUE,NA,TRUE,FALSE,Adelaide,FALSE
A14 - Southern Expressway to Port Road,"138.55931, -35.02340","138.55106, -34.89169",NA,355,TRUE,NA,TRUE,FALSE,Adelaide,FALSE
A15 - ANZAC Hwy to Port Rd,"138.51983, -34.97620","138.51446, -34.86340",NA,NA,FALSE,NA,FALSE,FALSE,Adelaide,FALSE
A15 - Port Rd to ANZAC Hwy,"138.51438, -34.86362","138.52001, -34.97627",NA,NA,FALSE,NA,FALSE,FALSE,Adelaide,FALSE
A16 - Hampstead Rd to Outer Harbor,"138.61679, -34.84741","138.49083, -34.77776","138.494760, -34.849006",345,TRUE,NA,TRUE,FALSE,Adelaide,FALSE
A16 - Outer Harbor to Hampstead Rd,"138.490018, -34.777183","138.616456, -34.847219","138.494760, -34.849006",165,TRUE,NA,TRUE,FALSE,Adelaide,FALSE
A17 - Grand Junction to SE Freeway,"138.61736, -34.84763","138.64431, -34.96283",NA,NA,FALSE,NA,FALSE,FALSE,Adelaide,FALSE
A17 - SE Freeway to Grand Junction,"138.64418, -34.96287","138.61723, -34.84772",NA,NA,FALSE,NA,FALSE,FALSE,Adelaide,FALSE
A20 - Grand Junction Rd to Sturt Highway,"138.60058, -34.84744","138.73084, -34.59181",NA,NA,TRUE,NA,TRUE,FALSE,Adelaide,FALSE
A20 - Sturt Highway to Grand Junction Rd,"138.73146, -34.59028","138.60066, -34.84767",NA,NA,TRUE,NA,TRUE,FALSE,Adelaide,FALSE
A22 - Glebe to Liverpool,"151.193930, -33.884545","150.921303, -33.914932","151.07464, -33.88795",NA,TRUE,NA,TRUE,FALSE,Sydney,FALSE
